x,old_curve,finetuned_curve,kl_finetuned_curve,finetuned_q25,finetuned_q75,kl_finetuned_q25,kl_finetuned_q75
-3.3999999999999999,-0.59698208394994745,-0.19756180781334848,-0.50479901964252938,-2.1308227540779341,1.3313852633459393,-0.81609673122672688,-0.19723819741657883
-3.386372745490982,-0.60320791606089119,-0.21198922250987223,-0.51349891086997601,-2.1387742901960065,1.3262621950655387,-0.81932194904348798,-0.21492781170850511
-3.3727454909819641,-0.61434140817477578,-0.22497704054472101,-0.51953600121985666,-2.1468230076862835,1.318560219753544,-0.8179682318357967,-0.23417621248436316
-3.3591182364729462,-0.62136651299664214,-0.23616534294019342,-0.52941365133430174,-2.1549721508683852,1.3069576332938988,-0.82357602763809301,-0.24411073684077744
-3.3454909819639274,-0.62832660393402406,-0.24750405145269933,-0.53725839906387174,-2.1632127892093354,1.3113319511706392,-0.8280509062859831,-0.26127209363584336
-3.3318637274549094,-0.63755228043813472,-0.24976556239693729,-0.54970909483930597,-2.1732198374011675,1.3012477850106459,-0.82708670188570077,-0.28626492012488342
-3.3182364729458915,-0.64697162978289535,-0.24744627816530407,-0.55864355476301508,-2.1831783260447128,1.2959517947269745,-0.82435129135928797,-0.30618280824424682
-3.3046092184368736,-0.65166810479790194,-0.24432708307138257,-0.56578189962807857,-2.1874882451697579,1.2965339897111074,-0.82995272107464768,-0.3231670246070274
-3.2909819639278557,-0.65305983041855686,-0.25460979790835025,-0.57301196841724122,-2.1886716763210465,1.29347878244982,-0.83419602205007681,-0.34166628453715775
-3.2773547094188378,-0.65797149773173769,-0.26546374584063759,-0.58033961452379068,-2.1898288251861908,1.2887895752954512,-0.83664063709092318,-0.358244120127167
-3.2637274549098199,-0.66913497317224024,-0.27424056530350649,-0.59045769166051765,-2.1909590787257009,1.2811166711052888,-0.8385284741045903,-0.37980721303732479
-3.2501002004008015,-0.67597940652115862,-0.28304617067992943,-0.59793666439534054,-2.1930209074026172,1.2771084360332057,-0.84042696009068418,-0.39801112926684962
-3.2364729458917831,-0.67948058487681418,-0.28984849049918238,-0.60557543257200552,-2.2003443931665259,1.2711520141390102,-0.84370749826696478,-0.4239326321958285
-3.2228456913827652,-0.6832699761706541,-0.29867168666066291,-0.61416419959208746,-2.2134667532029302,1.269457852408399,-0.84420860880025228,-0.44625894112129605
-3.2092184368737473,-0.69101527309359345,-0.30575749680001829,-0.62711395104716439,-2.2263313678737169,1.259416259054577,-0.84677771361108733,-0.4687769332126
-3.1955911823647294,-0.69804048835264632,-0.31296530941001188,-0.63894977978660505,-2.2389339047253669,1.2542341495463987,-0.84913548184054444,-0.480650815599036
-3.1819639278557115,-0.70619612679325816,-0.32029060877294002,-0.64918950772962458,-2.2512705482830064,1.2490380162957202,-0.85006700252249612,-0.49849205495149373
-3.1683366733466931,-0.71467675481745774,-0.32772875084806907,-0.65933079550300033,-2.261935938438973,1.2428640588021573,-0.85242210180878397,-0.51598735928368089
-3.1547094188376752,-0.72086062581454069,-0.33527497540311879,-0.66700006962117375,-2.2682358412920403,1.2361087035467437,-0.84782000868719298,-0.53156908955536808
-3.1410821643286568,-0.72925515194864232,-0.34897224505437974,-0.67827780690067374,-2.2778910879932965,1.2330976782467813,-0.84821618321423309,-0.54824182890635331
-3.1274549098196389,-0.73796422938915684,-0.36471315693183703,-0.69475809050809068,-2.2929149716067574,1.2237302324663988,-0.85405080922304766,-0.56805782911506775
-3.113827655310621,-0.74441719415779017,-0.37717798677769115,-0.7082765122512924,-2.3068906095855128,1.2292172619731454,-0.85403315859971862,-0.58924389551016754
-3.1002004008016031,-0.7517941376492272,-0.38880796627350694,-0.72215188518480855,-2.3195475039154605,1.2128386200665775,-0.86156398298820769,-0.60486131408462795
-3.0865731462925852,-0.75984071307112888,-0.39939293796301067,-0.73531364680689348,-2.3299506558794203,1.2028302184333588,-0.86192500829333141,-0.61911651386229904
-3.0729458917835668,-0.766042450984043,-0.41074755218476344,-0.75201200592494644,-2.3393955620315481,1.1995443804983017,-0.86445355521270661,-0.63359777430968145
-3.0593186372745489,-0.77208231722717469,-0.42562043962452717,-0.75833907653082466,-2.3393158689183959,1.1964793523814679,-0.87069960030025295,-0.65415611065303292
-3.0456913827655314,-0.77885057650086242,-0.46206068512566423,-0.77024503825265112,-2.321183441300211,1.1934459613087549,-0.87655059179826511,-0.66876510272451639
-3.0320641282565131,-0.7855890046535563,-0.47954375704135188,-0.78459480364704792,-2.3061590741207132,1.1910032101230736,-0.88079130461202904,-0.68255203996686431
-3.0184368737474951,-0.7937019957346374,-0.49490443955622609,-0.7936783292278965,-2.3035361914146204,1.193845446393019,-0.88532542120695112,-0.69532478933181296
-3.0048096192384772,-0.80095521827230787,-0.49568005915071156,-0.80610430867377736,-2.3030041319482839,1.1975545851644989,-0.8890882772545825,-0.7037376028107305
-2.9911823647294589,-0.80814455711678224,-0.48858458187023179,-0.81804617331855489,-2.2867073643172215,1.2039819236474409,-0.89348963493464861,-0.70774615425678455
-2.9775551102204409,-0.81634344819124094,-0.48564607372207208,-0.82179188939232017,-2.2920858524932974,1.2070926126858212,-0.90226772817730605,-0.71910535048468627
-2.963927855711423,-0.82429019577746798,-0.50740235079632978,-0.83526746205840596,-2.2952049535876089,1.1978631737707637,-0.90965384761264656,-0.7303112477755439
-2.9503006012024051,-0.8311466965414398,-0.52014347313193743,-0.84825037185561891,-2.2981879692243585,1.1813936392302304,-0.91930689409979305,-0.74511808027494597
-2.9366733466933868,-0.8377744375511913,-0.52251095303319228,-0.86015194673454964,-2.3010176589265159,1.1759097419340896,-0.92816323026846836,-0.76200479686735889
-2.9230460921843688,-0.84308992855242104,-0.52188241706452121,-0.86811055450305452,-2.2999753023323399,1.1642439824213429,-0.93880683956362154,-0.7761849353071465
-2.9094188376753505,-0.84913380128703653,-0.51936051525690818,-0.87718310509553232,-2.3061458448753447,1.1540765142743745,-0.94374687820653336,-0.79040341448041351
-2.8957915831663326,-0.85668050888001268,-0.51688068419853306,-0.8853076153996462,-2.3055302528419572,1.152630324063024,-0.95317892606790444,-0.79887460749872519
-2.8821643286573146,-0.86368836555697726,-0.51458332908339133,-0.89557078963501802,-2.303284380178336,1.1516036901272724,-0.96340281684624951,-0.80590107258898935
-2.8685370741482967,-0.86948923680393064,-0.52330669369713212,-0.90531533170807654,-2.3008257057558943,1.1484101144384085,-0.97181980346054875,-0.81551354392401199
-2.8549098196392788,-0.87440325138177777,-0.53322567859192416,-0.91146751480449573,-2.2918185842035887,1.1442427041559118,-0.9810431641027072,-0.82203290688711206
